2021-10-20 15:16:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9762 flow
2021-10-20 15:16:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9766 flow
2021-10-20 15:16:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9765 flow
2021-10-20 15:16:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9775 flow
2021-10-20 17:08:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9794 flow
2021-10-20 17:08:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9797 flow
2021-10-20 17:08:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9801 flow
2021-10-20 17:08:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9800 flow
2021-10-20 17:08:10 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9799 flow
2021-10-20 17:09:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9826 flow
2021-10-20 17:09:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9826 flow
2021-10-20 17:09:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9828 flow
2021-10-20 17:09:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9827 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9835 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9839 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9845 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9845 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9844 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9843 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9844 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9845 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9845 flow
2021-10-20 17:09:12 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9845 flow
2021-10-20 17:09:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9846 flow
2021-10-20 17:09:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9852 flow
2021-10-20 17:09:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9860 flow
2021-10-20 17:10:14 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 30656 flow
2021-10-20 17:10:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 46791 flow
2021-10-20 17:10:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 50572 flow
2021-10-20 17:10:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 52448 flow
2021-10-20 17:10:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 52654 flow
2021-10-20 17:10:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 81353 flow
2021-10-20 17:11:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 91614 flow
